parental_rna	mean_diff	p	species_num
Mus_musculus_tRNA-Ala-CGC-2-1	0.0385239458820847	1.60724865386839e-25	2
Mus_musculus_tRNA-Asp-GTC-1-1	0.194997401298547	0.000146788629805279	36
Mus_musculus_tRNA-Asp-GTC-2-1	0.155052624558402	0.011894731677899	26
Mus_musculus_tRNA-Glu-CTC-1-1	0.0267621362709883	7.04263123412533e-15	3
Mus_musculus_tRNA-Glu-CTC-2-1	0.0318153009363103	1.40169919735209e-13	2
Mus_musculus_tRNA-Glu-TTC-3-1	0.0267621362709883	7.04263123412533e-15	3
Mus_musculus_tRNA-Gly-CCC-3-1	0.0162226770263032	0.979876968067034	23
Mus_musculus_tRNA-Gly-CCC-4-1	0.0162226770263032	0.979876968067034	23
Mus_musculus_tRNA-Gly-GCC-1-1	0.0303990198626377	0.925347440920852	31
Mus_musculus_tRNA-Gly-GCC-2-1	0.0365309965462242	0.828313048357431	119
Mus_musculus_tRNA-Gly-GCC-3-1	0.0365309965462242	0.828313048357431	119
Mus_musculus_tRNA-Gly-GCC-4-1	0.0365309965462242	0.828313048357431	119
Mus_musculus_tRNA-His-GTG-1-1	0.11080285816812	0.0888484468809255	13
Mus_musculus_tRNA-His-GTG-2-1	0.110614009920208	5.74350205478321e-08	37
Mus_musculus_tRNA-His-GTG-3-1	0.112620266468489	3.85218496442373e-07	18
Mus_musculus_tRNA-Pro-AGG-1-1	0.0343037966802429	2.65575278306205e-24	3
Mus_musculus_tRNA-Pro-CGG-1-1	0.0343037966802429	2.65575278306205e-24	3
Mus_musculus_tRNA-Pro-TGG-1-1	0.0343037966802429	2.65575278306205e-24	3
Mus_musculus_tRNA-Pro-TGG-2-1	0.0343037966802429	2.65575278306205e-24	3
Mus_musculus_tRNA-Pro-TGG-3-1	0.0385239458820847	1.60724865386839e-25	2
Mus_musculus_tRNA-Pro-TGG-4-1	0.0385239458820847	1.60724865386839e-25	2
Mus_musculus_tRNA-Val-AAC-1-1	0.00389584872920273	0.739478047532127	6
Mus_musculus_tRNA-Val-AAC-2-1	0.00389584872920273	0.739478047532127	6
Mus_musculus_tRNA-Val-AAC-3-1	0.0107562713291615	0.0736555172372996	2
Mus_musculus_tRNA-Val-AAC-4-1	0.0107562713291615	0.0736555172372996	2
Mus_musculus_tRNA-Val-AAC-5-1	0.00389584872920273	0.739478047532127	6
Mus_musculus_tRNA-Val-CAC-1-1	0.00389584872920273	0.739478047532127	6
Mus_musculus_tRNA-Val-CAC-2-1	0.00389584872920273	0.739478047532127	6
Mus_musculus_tRNA-Val-CAC-3-1	0.0107562713291615	0.0736555172372996	2
Mus_musculus_tRNA-Val-CAC-4-1	0.0107562713291615	0.0736555172372996	2
Mus_musculus_tRNA-Val-CAC-7-1	0.0107562713291615	0.0736555172372996	2
